sentence,label
he poured orange juice on his cereal is wrong because orange juice is usually bright orange.,negative
he poured orange juice on his cereal is wrong because orange juice doesn't taste good on cereal.,positive
he poured orange juice on his cereal is wrong because orange juice is sticky if you spill it on the table.,negative
he drinks apple is wrong because apple juice are very tasty and milk too.,negative
he drinks apple is wrong because apple can not be drunk.,positive
he drinks apple is wrong because apple cannot eat a human.,negative
"jeff ran 100,000 miles today is wrong because 100,000 miles is way to long for one person to be able to run in one day.",positive
"jeff ran 100,000 miles today is wrong because jeff is a four letter name and 100,000 has six numerical digest.",negative
"jeff ran 100,000 miles today is wrong because 100,000 miles is longer than 100,000 km.",negative
i sting a mosquito is wrong because a human is a mammal.,negative
i sting a mosquito is wrong because a human is omnivorous.,negative
i sting a mosquito is wrong because a human has not stings.,positive
a giraffe is a person is wrong because giraffes can drink water from a lake.,negative
a giraffe is a person is wrong because a giraffe is not a human being.,positive
a giraffe is a person is wrong because .giraffes usually eat leaves.,negative
a normal closet is larger than a walk-in closet is wrong because walk-in closets are normal closets.,negative
a normal closet is larger than a walk-in closet is wrong because a person can sleep in a walk-in closet.,negative
a normal closet is larger than a walk-in closet is wrong because a person cannot walk into a normal closet because it is smaller than a walk-in closet.,positive
i like to ride my chocolate is wrong because chocolate is delicious and bikes are not.,negative
"i like to ride my chocolate is wrong because chocolate is a food, not a transportation unit.",positive
i like to ride my chocolate is wrong because my bike can't ride a chocolate.,negative
a girl won the race with horse is wrong because girl have beautiful hair but the horse doesn't have.,negative
a girl won the race with horse is wrong because the girl wear dress but the horse doesn't have .,negative
a girl won the race with horse is wrong because horse ran faster than her.,positive
he put elephant into the jug is wrong because elephants is an animal and jug is a thing.,negative
he put elephant into the jug is wrong because a jug is so small than an elephant.,positive
he put elephant into the jug is wrong because jug is used for store things.,negative
a dog plays volleyball is wrong because only humans play volleyball.,positive
a dog plays volleyball is wrong because dogs are not wild animals.,negative
a dog plays volleyball is wrong because humans trust dogs.,negative
eggs eat kis on easter is wrong because easter has a lot of eggs.,negative
eggs eat kis on easter is wrong because no egg eat kids.,positive
eggs eat kis on easter is wrong because eggs are made for easter.,negative
mark drank a notebook is wrong because the notebook was yellow and mark does not drink anything yellow.,negative
mark drank a notebook is wrong because a notebook is a solid and by definition a person can only drink a liquid.,positive
mark drank a notebook is wrong because notebooks cost $.50.,negative
he went to the police station to withdraw cash is wrong because police catches thieves while money can buy you things.,negative
he went to the police station to withdraw cash is wrong because police station is a place to file criminal complaints.,positive
he went to the police station to withdraw cash is wrong because police station has jails but no money to give.,negative
an employee can price goods is wrong because an owner serve foods to employees.,negative
an employee can price goods is wrong because owners always stand and sell goods.,negative
an employee can price goods is wrong because only owner could price the goods.,positive
she wear hat in the hand is wrong because hat usually black in colour and bangles are in different colours.,negative
she wear hat in the hand is wrong because hat usually wear on the head.,positive
she wear hat in the hand is wrong because hat will be big in size.,negative
my cousin throws the house to my brother is wrong because houses are usually expensive.,negative
my cousin throws the house to my brother is wrong because a house is too big to throw.,positive
my cousin throws the house to my brother is wrong because there are several houses on this street.,negative
roses buds  eat caterpillars is wrong because rose buds are edible while caterpillars aren't.,negative
roses buds  eat caterpillars is wrong because rose buds bloom and caterpillars crawl.,negative
roses buds  eat caterpillars is wrong because caterpillars have mouths while rose buds don't.,positive
lisa played jazz music for moses of the old testament yesterday is wrong because moses was too busy talking to the burning bush.,negative
lisa played jazz music for moses of the old testament yesterday is wrong because moses has been dead for a long time and could not have heard a concert yesterday.,positive
lisa played jazz music for moses of the old testament yesterday is wrong because jazz is a fading art form.,negative
the computer broke down and the doctor fixed it is wrong because the technician heals people and the doctor heals machines.,negative
the computer broke down and the doctor fixed it is wrong because the technician is a doctor's friend and fixes the computer.,negative
the computer broke down and the doctor fixed it is wrong because a doctor does not fix computers.,positive
i drank bleach is wrong because bleach is a denser liquid than water.,negative
i drank bleach is wrong because bleach is used for cleaning.,positive
i drank bleach is wrong because bleach is not stored in the kitchen.,negative
i usually wear a shoe on my head is wrong because cap looks good on the head.,negative
i usually wear a shoe on my head is wrong because shoe can be worn in feet only.,positive
i usually wear a shoe on my head is wrong because we wear different things on the head.,negative
my brother placed the nuclear reactor inside the box is wrong because nuclear reactor can be contained in a container.,negative
my brother placed the nuclear reactor inside the box is wrong because nuclear reactor is contained in a place.,negative
my brother placed the nuclear reactor inside the box is wrong because nuclear reactor is way too big to be placed in a box.,positive
she took the chair for a walk is wrong because chairs can't walk.,positive
she took the chair for a walk is wrong because chairs can only go for runs.,negative
she took the chair for a walk is wrong because a chair is red.,negative
a dog roared at a cat in the street is wrong because dogs do not usually roar at cats.,negative
a dog roared at a cat in the street is wrong because roar is not a dog characteristic.,positive
a dog roared at a cat in the street is wrong because dogs do not roar when they are chasing cats.,negative
he mowed the carpet is wrong because grass is usually green while carpets are usually not.,negative
"he mowed the carpet is wrong because lawnmowers are for cutting grass, not carpets.",positive
he mowed the carpet is wrong because carpet is too short to mow.,negative
